epoch duration duration_error
1 0.4792915522 0.0031981558296720154
2 0.4866165617 0.003106199353984256
3 0.4742864975 0.0019631154164235854
4 0.4827496137 0.0026813124044687228
5 0.4857692253 0.002683737718600572
6 0.4809182887 0.003250551793562331
7 0.4820428164 0.0026946371509290086
8 0.48496646205 0.002911495208887494
9 0.4828191444 0.002172783591014507
10 0.4864596608 0.0030523689621007946
11 0.4857541181 0.003344441454108947
12 0.4848629115 0.0023802561193655243
13 0.48664054489999997 0.003555494178491083
14 0.4879827454 0.003252162305994285
16 0.4791928128 0.003005728295738443
17 0.4812954678 0.002866005504893941
18 0.4754303854 0.004772492064106687
19 0.4761295945 0.003486146129267085
21 0.478460548 0.0031505234077034024
22 0.4749979436 0.003251928869434863
